"","logFC","logCPM","LR","PValue","FDR"
"PITA_42670",2.88332125172018,3.75059813801579,39.1770716737564,3.87059031031786e-10,1.55673089991904e-07
"PITA_40960",4.83006814651548,2.97898874379906,39.167064208532,3.89048054499356e-10,1.55673089991904e-07
"PITA_38468",6.15073871462352,1.9516265622961,39.0843943498416,4.05875354339723e-10,1.59945637742755e-07
"PITA_36266",7.5042049369693,3.25383938453109,38.9759551009571,4.29057711336747e-10,1.6655764200235e-07
"PITA_33524",5.03185413339226,1.2545060071808,38.1076031132415,6.69487455049098e-10,2.56069106152529e-07
"PITA_31536",2.72390443312156,5.50529785998577,37.9030401440332,7.4349291969599e-10,2.80253729686565e-07
"PITA_50420",2.15255698953994,8.32696441368639,37.509535133826,9.09671869671838e-10,3.37995080832783e-07
"PITA_30131",6.56655364334224,1.12780307958453,37.1115120004663,1.11563137755949e-09,4.08682485900629e-07
"PITA_33915",7.99792508560394,0.738049699681711,36.7943167017985,1.31272372189117e-09,4.69499357522258e-07
"PITA_00454",4.87861551259746,5.27004893072259,36.6013032674985,1.44934785624158e-09,5.09406599905234e-07
"PITA_32409",2.88617422907465,4.03279400763809,34.2918370808241,4.74367273386331e-09,1.56174916626647e-06
"PITA_51145",4.32752653588441,2.28830770855432,33.9918863735998,5.53423686150844e-09,1.77703662383917e-06
"PITA_01478",3.7540538447087,1.98129455836138,33.6754150418298,6.51185006801916e-09,2.06544766364769e-06
"PITA_39065",1.94118548473998,5.43902927802205,33.5377497612644,6.98941973105068e-09,2.19021467210719e-06
"PITA_18269",3.37997949916278,2.65829047855511,33.3855225488005,7.55845368269413e-09,2.3403312122999e-06
"PITA_41827",3.04415032282234,4.44029549319615,33.2038754106558,8.29849792804539e-09,2.5392427365945e-06
"PITA_47196",4.78894450045854,3.6434006589221,32.9978672163982,9.22600251925867e-09,2.79022208748138e-06
"PITA_24304",4.69708937593005,0.948952287854682,32.7621351612725,1.04154043515511e-08,3.11372703194818e-06
"PITA_09310",5.97374544012684,1.81843398983332,32.5229828404633,1.17791275492387e-08,3.4814014594108e-06
"PITA_40156",4.3009131727621,1.28383941221547,32.4392983610413,1.22974296942115e-08,3.5326347894811e-06
"PITA_08000",2.92471741128973,5.08945288760272,32.4369534713714,1.23122772540326e-08,3.5326347894811e-06
"PITA_27400",2.97075157074614,3.86803392342056,32.4294446190079,1.2359943321265e-08,3.5326347894811e-06
"PITA_39767",5.12023293155292,0.983798590317627,32.40666534695,1.25056796189584e-08,3.53543718705965e-06
"PITA_02850",4.43477779788791,2.98800891731056,31.7266187091914,1.77473010733448e-08,4.96332853351211e-06
